Name,10k_1x_MLAB,10k_1x_MLAB2,10k_1x_NEB,10k_2x_MLAB,1k_1x_MLAB,IVT_DAY1,IVT_DAY2,MicrobeExpress_Bead,MicrobeExpress_RNASE
amiB,71.72640684434357,135.8116860502063,50.5551778494399,131.0803826004922,66.73795021616422,75.31673719841424,74.52211655530533,211.86586742593255,115.92127434968464
amiC,202.84308698844148,224.17564650736017,189.42554742384777,192.6984371675877,328.5760639863359,205.7401641963366,151.12414578526136,245.22778012603007,148.6442251738548
amiD,78.40497341873966,104.83320118897355,79.82917262160308,121.74582648288168,440.5668439179709,64.63357906198368,82.95292394982047,147.3098949212192,114.23472429002283
amn,79.06498401808183,121.78545972473664,60.79087509603863,142.64909348188627,136.77053385095266,83.66342150973527,62.31692725553679,103.0701278984867,166.97065394555247
ampC,73.23595616731203,163.60516795880483,74.91040939460075,109.11552947737034,287.9770296251236,70.6317389341699,89.39118098790618,188.01444056743998,60.687162874672836
ampD,98.06925272362922,288.27006477672967,96.78900933359884,168.24519598016443,39.286268520105374,84.93784936516296,68.70145849124127,246.2199367569094,125.92553148601408
ampE,73.9010379305619,271.81813197135534,91.56389571918862,114.47771286667137,290.9373198145265,107.32991002562879,90.0774538087953,266.01979275247044,102.12970573169618
ampG,67.71190361134958,148.46362718881184,67.74239439387127,113.52727020126409,153.83833890130217,67.89676921501649,79.81760627615523,128.66458992610933,127.10721345441418
ampH,57.696684528404504,126.19626395005403,73.77298333851726,160.75495554869207,92.53406983339664,77.40579034120378,96.15277400710691,140.8429068288228,235.0298296526014
amtB,84.28572919852498,133.07514906966298,96.63299251016934,133.8231509978885,181.3858814766198,72.72244629195029,103.78504748394133,226.2960457705861,109.09486256516018
amyA,219.35114245276085,227.82634151709286,245.98566743108637,251.03703194934292,237.4694655992328,194.6477554820565,354.86037844500737,257.7393772915974,331.0673367711461
anmK,84.93437673232081,96.29142373347354,88.47052086381062,115.05878499016363,217.20497202785126,70.67321979001905,74.86418894946485,202.0750877905796,109.82291209066659
ansA,22.9969723505958,116.3423342521941,57.05862233238525,116.13825060222122,104.10895242739014,60.07225030635285,51.092388469459756,110.54970306772208,148.25943788335601
ansB,1997.29074240647,1580.3692832552463,1807.9278091717158,1328.045643758323,1530.290544424479,2069.4486075687923,965.5704389477231,932.8819051314707,857.461875033649
ansP,87.51757690409899,133.66318105565918,93.71564726858955,112.21382985539074,105.45358853584992,82.98023417027063,137.7117845603097,234.96684816434055,171.9904691929974
apaG,81.06525763777758,194.23444597848973,118.6333807631551,260.0264197467933,1208.153632099151,101.01434947348024,168.9166965961148,300.36652170444444,69.98846170722318
apaH,82.78025161372915,168.66175044239483,68.99877195209321,100.72937883459481,198.23240871019888,71.41813992237417,81.14133653233698,215.40653125490812,157.52898058950464
aphA,269.3071832420472,241.45275190697106,307.8739812994987,243.52459942215384,221.54115238623933,175.92723854558554,189.3386901297988,268.8277491629546,285.2816882045291
appA,108.98475451349145,180.64942175007772,79.35185189059015,185.28373761392825,117.84279431108908,101.3084027385032,127.3703411239838,200.2902923351488,141.09886859600493
appB,62.25646267063562,167.76817942528106,74.53156155506514,107.98306541748082,223.26649202734419,89.03295795772658,103.50322860006627,94.81630878174641,119.53329700858048
appC,65.6493627466619,142.381537046846,75.87357766633738,139.5336590292422,137.8856035506337,70.21785911289074,101.95509073487844,247.75179845973622,89.75790383194769
appX,85.4373628520491,217.1039855856345,57.5966440814251,95.141467855939,0.0,71.2026127271433,67.69591365163758,107.37069526515918,557.7828067748337
appY,43.25210774365735,140.81698511215924,67.29946335360363,149.1611707368723,219.41149872781676,58.894654582324165,48.834368412861046,172.3418959778322,115.50566362693257
apt,64.46160198170907,152.19227022373929,42.67176118435013,107.73159890310382,92.43827887083619,107.4132867783473,70.82068463651231,98.82296781399766,165.39472792192896
aqpZ,33.305520702501376,157.42263917434363,35.12580482330943,95.88853565018339,97.13988098581838,53.03860891560641,53.448344919008306,198.20040698452038,91.42508993803598
araA,469.26117503784144,258.52595812963796,385.26285863482957,506.78373511498364,263.1077558279689,383.55349651632105,802.9700565427106,397.76052308568234,528.9770173790503
araB,118.60731669914092,182.9456063831587,132.21858839521283,227.626446378328,449.21416860794005,119.24839040833879,243.12800715188806,161.54348579544134,230.44857326111108
araC,94.83559954625062,162.8785098188223,143.59593884971733,137.18072109460968,87.07496576228937,111.1823309007576,98.53093086515906,118.64930072152971,217.17359248079532
